Geography,Measure,Group,Count,Enrollment,Rate
National,In-School Suspension (1+),Students with Disabilities,186499,8416507,0.022159
  National,In-School Suspension (1+),Students without Disabilities,603046,40734059,0.014804
  National,Out-of-School Suspension (1+),Students with Disabilities,187220,8416507,0.022244
  National,Out-of-School Suspension (1+),Students without Disabilities,454716,40734059,0.011163
  National,OOS Suspension (More than one),Students with Disabilities,64103,8416507,0.007616
  National,OOS Suspension (More than one),Students without Disabilities,114720,40734059,0.002816
  National,Referral to Law Enforcement,Students with Disabilities,17905,8416507,0.002127
  National,Referral to Law Enforcement,Students without Disabilities,46673,40734059,0.001146
  National,School Arrest,Students with Disabilities,2600,8416507,0.000309
  National,School Arrest,Students without Disabilities,6687,40734059,0.000164
  Texas,In-School Suspension (1+),Students with Disabilities,43239,947842,0.045616
  Texas,In-School Suspension (1+),Students without Disabilities,128832,4538897,0.028385
  Texas,Out-of-School Suspension (1+),Students with Disabilities,35285,947842,0.037228
  Texas,Out-of-School Suspension (1+),Students without Disabilities,64984,4538897,0.014316
  Texas,OOS Suspension (More than one),Students with Disabilities,11393,947842,0.012021
  Texas,OOS Suspension (More than one),Students without Disabilities,14832,4538897,0.003267
  Texas,Referral to Law Enforcement,Students with Disabilities,3437,947842,0.003626
  Texas,Referral to Law Enforcement,Students without Disabilities,10028,4538897,0.002209
  Texas,School Arrest,Students with Disabilities,462,947842,0.000487
  Texas,School Arrest,Students without Disabilities,1396,4538897,0.000308
  Pflugerville ISD,In-School Suspension (1+),Students with Disabilities,1118,8108,0.137888
  Pflugerville ISD,In-School Suspension (1+),Students without Disabilities,2490,42278,0.05891
  Pflugerville ISD,Out-of-School Suspension (1+),Students with Disabilities,891,8108,0.10989
  Pflugerville ISD,Out-of-School Suspension (1+),Students without Disabilities,1490,42278,0.035248
  Pflugerville ISD,OOS Suspension (More than one),Students with Disabilities,285,8108,0.035151
  Pflugerville ISD,OOS Suspension (More than one),Students without Disabilities,294,42278,0.006956
  Pflugerville ISD,Referral to Law Enforcement,Students with Disabilities,74,8108,0.009127
  Pflugerville ISD,Referral to Law Enforcement,Students without Disabilities,174,42278,0.004117
  Pflugerville ISD,School Arrest,Students with Disabilities,10,8108,0.001233
  Pflugerville ISD,School Arrest,Students without Disabilities,22,42278,0.000521
  Austin ISD,In-School Suspension (1+),Students with Disabilities,62,16020,0.003871
  Austin ISD,In-School Suspension (1+),Students without Disabilities,52,55541,0.000936
  Austin ISD,Out-of-School Suspension (1+),Students with Disabilities,58,16020,0.00362
  Austin ISD,Out-of-School Suspension (1+),Students without Disabilities,49,55541,0.000882
  Austin ISD,Referral to Law Enforcement,Students with Disabilities,146,16020,0.009114
  Austin ISD,Referral to Law Enforcement,Students without Disabilities,302,55541,0.005437
  Austin ISD,School Arrest,Students with Disabilities,2,16020,0.000125
  Austin ISD,School Arrest,Students without Disabilities,5,55541,0.00009
Round Rock ISD,In-School Suspension (1+),Students with Disabilities,58,8959,0.006474
Round Rock ISD,In-School Suspension (1+),Students without Disabilities,58,39334,0.001475
Round Rock ISD,Out-of-School Suspension (1+),Students with Disabilities,37,8959,0.00413
Round Rock ISD,Out-of-School Suspension (1+),Students without Disabilities,28,39334,0.000712
Round Rock ISD,Referral to Law Enforcement,Students with Disabilities,26,8959,0.002902
Round Rock ISD,Referral to Law Enforcement,Students without Disabilities,23,39334,0.000585
Round Rock ISD,School Arrest,Students with Disabilities,0,8959,0
Round Rock ISD,School Arrest,Students without Disabilities,0,39334,0
